Threshold,False Positive Rate (x),True Positive Rate (y)
0.867000,0.017449,0.690486
0.868000,0.017449,0.687578
0.869000,0.017449,0.685916
0.870000,0.017034,0.683839
0.871000,0.017034,0.681762
0.872000,0.017034,0.679269
0.873000,0.017034,0.678022
0.874000,0.017034,0.675945
0.875000,0.016618,0.674699
0.876000,0.016618,0.672622
0.877000,0.016203,0.671791
0.878000,0.016203,0.670544
0.879000,0.016203,0.669298
0.880000,0.016203,0.668467
0.881000,0.016203,0.667221
0.882000,0.016203,0.665974
0.883000,0.016203,0.665143
0.884000,0.015787,0.663897
0.885000,0.015372,0.660989
0.886000,0.014956,0.658496
0.887000,0.014541,0.657250
0.888000,0.014541,0.656003
0.889000,0.014541,0.653926
0.890000,0.014541,0.650602
0.891000,0.014541,0.648110
0.892000,0.014125,0.646448
0.893000,0.014125,0.646032
0.894000,0.014125,0.644371
0.895000,0.013710,0.643124
0.896000,0.013295,0.640631
0.897000,0.012464,0.638970
0.898000,0.012464,0.636477
0.899000,0.012048,0.635231
0.900000,0.012048,0.631491
0.901000,0.011633,0.630661
0.902000,0.011633,0.629830
0.903000,0.011633,0.626506
0.904000,0.011217,0.623598
0.905000,0.011217,0.622767
0.906000,0.010802,0.620690
0.907000,0.010802,0.618612
0.908000,0.010802,0.617366
0.909000,0.010802,0.616120
0.910000,0.010802,0.611550
0.911000,0.010386,0.609057
0.912000,0.010386,0.606149
0.913000,0.010386,0.600748
0.914000,0.009555,0.599086
0.915000,0.009140,0.595762
0.916000,0.009140,0.594101
0.917000,0.009140,0.589531
0.918000,0.009140,0.584545
0.919000,0.009140,0.581221
0.920000,0.009140,0.578313
0.921000,0.009140,0.577067
